iter	Logloss
0	0.6583693866
1	0.6231380381
2	0.5981517771
3	0.5716989873
4	0.5509367833
5	0.5310232438
6	0.5156305046
7	0.5029700734
8	0.4921508775
9	0.4824865822
10	0.4750246921
11	0.4689798174
12	0.4618568258
13	0.4533494532
14	0.448153524
15	0.4444787765
16	0.4411819653
17	0.438113483
18	0.4320799265
19	0.4302127688
20	0.4265302138
21	0.4217373848
22	0.4180259305
23	0.416031549
24	0.4127225772
25	0.4119827971
26	0.4097921033
27	0.407993669
28	0.4062210166
29	0.4036815946
30	0.4030114646
31	0.401801181
32	0.4009248248
33	0.4000731832
34	0.3990568527
35	0.3981967857
36	0.396233494
37	0.3936372005
38	0.3921806698
39	0.3913259108
40	0.3912334278
41	0.3900108991
42	0.3885170438
43	0.3869926043
44	0.3847926987
45	0.3824636595
46	0.3821161108
47	0.3814715661
48	0.3796090706
49	0.3787269009
50	0.3783081013
51	0.3779731065
52	0.3771131518
53	0.376172285
54	0.3756281994
55	0.3745328104
56	0.3736340988
57	0.3728851069
58	0.3719101172
59	0.3708871587
60	0.3699193024
61	0.369441244
62	0.3690561461
63	0.3674897479
64	0.3673742354
65	0.3672488371
66	0.3669506614
67	0.3660667785
68	0.3658635574
69	0.364456821
70	0.3642446969
71	0.3640837714
72	0.3638440681
73	0.3632991119
74	0.3629572645
75	0.3625868549
76	0.3623636093
77	0.3608060578
78	0.3607076489
79	0.3602202383
80	0.3601328666
81	0.359985815
82	0.3597941647
83	0.3595898202
84	0.3593382371
85	0.3587315225
86	0.3576884553
87	0.3574635808
88	0.3572828836
89	0.3570706192
90	0.3567500038
91	0.3566722934
92	0.3564142227
93	0.3557239279
94	0.3552989497
95	0.3544024287
96	0.3540509201
97	0.3534611125
98	0.3530229064
99	0.3527898873
100	0.3525825377
101	0.3522808514
102	0.3518748865
103	0.3514775718
104	0.3511346852
105	0.3502846725
106	0.3495829192
107	0.3493305778
108	0.3483589582
109	0.3480653885
110	0.3469648038
111	0.3467221235
112	0.346252968
113	0.3461927824
114	0.345948389
115	0.3458253498
116	0.3457976021
117	0.3456808538
118	0.3450029725
119	0.3445815891
120	0.3445166853
121	0.3444224329
122	0.3442291818
123	0.3434844307
124	0.3432173729
125	0.3431659779
126	0.3427270696
127	0.3425191021
128	0.3418420353
129	0.3413267646
130	0.3409092849
131	0.3400589633
132	0.3399307284
133	0.3398465585
134	0.3394485416
135	0.3386861252
136	0.3382686175
137	0.3364842256
138	0.3361712774
139	0.3353720419
140	0.3351441062
141	0.3350771521
142	0.3349710199
143	0.3344678818
144	0.3339321936
145	0.3335984064
146	0.3334587972
147	0.3328241664
148	0.3326424862
149	0.3325794079
150	0.3323483829
151	0.3317643327
152	0.3316999063
153	0.3313334847
154	0.3311329877
155	0.331124787
156	0.3311028247
157	0.3308772481
158	0.3306934335
159	0.3301610031
160	0.3300106935
161	0.3297630142
162	0.3294010301
163	0.3292408066
164	0.329098417
165	0.3287753302
166	0.3284542935
167	0.3281717611
168	0.3279181278
169	0.3279167798
170	0.3277302409
171	0.3265352915
172	0.3263771183
173	0.3261862544
174	0.3261225582
175	0.3260243178
176	0.3257987693
177	0.3256872448
178	0.3254156934
179	0.3247407891
180	0.3244203703
181	0.324180302
182	0.3236106593
183	0.3235382849
184	0.3235043585
185	0.3230258508
186	0.3229847909
187	0.322824736
188	0.3217264823
189	0.321620322
190	0.3213841855
191	0.3209954085
192	0.3209566515
193	0.3209314876
194	0.3208957077
195	0.3208168176
196	0.3207507623
197	0.3207347821
198	0.3205725085
199	0.3204874679
200	0.3203815042
201	0.320074538
202	0.3199371756
203	0.3199052713
204	0.3197469296
205	0.3192097528
206	0.3189354491
207	0.3186561464
208	0.3186282021
209	0.3185822555
210	0.3184461568
211	0.3184386301
212	0.3183883304
213	0.3183611724
214	0.3182539449
215	0.3176103831
216	0.3174727117
217	0.3169065796
218	0.316558722
219	0.3165334739
220	0.3163097508
221	0.3162852329
222	0.3161145338
223	0.3160280048
224	0.3160160126
225	0.3157596551
226	0.3153386368
227	0.3151377467
228	0.3151142116
229	0.315067254
230	0.3149553363
231	0.3149542691
232	0.3145771191
233	0.3143697414
234	0.3140485924
235	0.3139743364
236	0.3139506048
237	0.3137185687
238	0.3131258965
239	0.3131097758
240	0.3127958727
241	0.3124212504
242	0.3121212492
243	0.3118720533
244	0.3118549497
245	0.3118383236
246	0.3117918714
247	0.3117762282
248	0.3115218086
249	0.3112883402
250	0.3110268151
251	0.31086075
252	0.310681766
253	0.3106812043
254	0.3104858469
255	0.3103206524
256	0.3102900682
257	0.3102806598
258	0.3092289425
259	0.3088749906
260	0.3083876642
261	0.3082149431
262	0.3079389824
263	0.3071292433
264	0.3068425543
265	0.3060322534
266	0.3059398265
267	0.3058942731
268	0.3058902851
269	0.3052033324
270	0.3050006167
271	0.3049557373
272	0.3049354882
273	0.3049187497
274	0.3035815511
275	0.3033519584
276	0.3029571993
277	0.3027009261
278	0.302661776
279	0.3022921527
280	0.3022795146
281	0.3020928353
282	0.3020102381
283	0.3018658545
284	0.3018235589
285	0.3012133056
286	0.3010959676
287	0.3010824307
288	0.3004085936
289	0.3003673091
290	0.3003652308
291	0.3002753315
292	0.3000880063
293	0.2999193575
294	0.2996544622
295	0.29935741
296	0.2993574381
297	0.2989909884
298	0.298649141
299	0.2985782551
300	0.2983958447
301	0.2981000563
302	0.2978968913
303	0.2978964419
304	0.297477867
305	0.297208759
306	0.2968282951
307	0.29632614
308	0.2959556742
309	0.2952974522
310	0.2951097619
311	0.2949800385
312	0.2943361116
313	0.294069419
314	0.2938852673
315	0.2938490661
316	0.2937723105
317	0.2935972022
318	0.2935944218
319	0.2935941409
320	0.2933389068
321	0.2932598202
322	0.2932385601
