iter	Passed	Remaining
0	71	41997
1	269	79417
2	501	98207
3	849	124653
4	1251	146719
5	1578	153934
6	1913	159611
7	2307	168142
8	2652	171499
9	3028	175982
10	3408	179739
11	3482	168042
12	3855	171402
13	4251	175235
14	4618	177357
15	4979	178940
16	5291	178662
17	5542	176439
18	5801	174652
19	5842	166806
20	6104	165693
21	6351	164283
22	6607	163185
23	6858	162028
24	7117	161138
25	7145	155269
26	7403	154656
27	7669	154204
28	7929	153677
29	8198	153310
30	8245	148955
31	8503	148539
32	8759	148112
33	8909	145960
34	9172	145708
35	9434	145450
36	9701	145262
37	9961	144966
38	10229	144787
39	10488	144475
40	10522	141160
41	10817	141394
42	11093	141373
43	11378	141450
44	11664	141528
45	11954	141633
46	12019	139118
47	12301	139155
48	12575	139102
49	12688	137284
50	12963	137255
51	13008	134841
52	13277	134777
53	13556	134807
54	13814	134625
55	14095	134666
56	14162	132679
57	14429	132606
58	14706	132607
59	14987	132638
60	15258	132575
61	15543	132622
62	15605	130789
63	15877	130739
64	15929	128907
65	16217	129002
66	16497	129026
67	16770	128983
68	16823	127277
69	17101	127284
70	17272	126505
71	17558	126569
72	17625	125071
73	17904	125086
74	18175	125045
75	18457	125074
76	18731	125040
77	19027	125143
78	19078	123645
79	19363	123682
80	19619	123531
81	19665	122072
82	19938	122031
83	20002	120727
84	20068	119466
85	20346	119477
86	20626	119490
87	20905	119492
88	21191	119527
89	21455	119434
90	21547	118393
91	21577	117032
92	21852	117017
93	22114	116923
94	22170	115753
95	22427	115643
96	22703	115622
97	22964	115523
98	23242	115510
99	23523	115501
100	23789	115414
101	24072	115406
102	24134	114347
103	24395	114237
104	24667	114176
105	24943	114128
106	25212	114047
107	25499	114039
108	25759	113910
109	26030	113822
110	26284	113663
111	26582	113687
112	26844	113555
113	26945	112744
114	27209	112625
115	27487	112556
116	27519	111487
117	27792	111405
118	28067	111328
119	28336	111219
120	28500	110704
121	28767	110588
122	29036	110481
123	29317	110414
124	29580	110277
125	29618	109306
126	29710	108547
127	29784	107734
128	30055	107642
129	30320	107521
130	30603	107462
131	30872	107353
132	31143	107245
133	31405	107107
134	31672	106982
135	31955	106910
136	32263	106918
137	32563	106893
138	32836	106776
139	33123	106704
140	33396	106585
141	33677	106486
142	33964	106406
143	34235	106273
144	34498	106111
145	34776	105996
146	35045	105852
147	35320	105724
148	35594	105589
149	35644	104795
150	35911	104642
151	36187	104515
152	36450	104348
153	36705	104158
154	36977	104014
155	37026	103248
156	37061	102451
157	37335	102317
158	37607	102177
159	37878	102034
160	38149	101891
161	38418	101736
162	38706	101633
163	38971	101469
164	39246	101326
165	39505	101144
166	39773	100980
167	40024	100777
168	40302	100638
169	40339	99899
170	40619	99766
171	40873	99569
172	41151	99429
173	41418	99261
174	41691	99107
175	41965	98952
176	42225	98765
177	42498	98606
178	42759	98419
179	43023	98237
180	43297	98077
181	43558	97887
182	43822	97702
183	44089	97523
184	44370	97376
185	44656	97235
186	44916	97039
187	45210	96914
188	45485	96746
189	45761	96580
190	46033	96406
191	46304	96226
192	46577	96051
193	46849	95871
194	47123	95697
195	47402	95530
196	47669	95339
197	47764	94805
198	48046	94644
199	48325	94476
200	48594	94288
201	48866	94103
202	49132	93908
203	49408	93730
204	49675	93534
205	49936	93328
206	50211	93145
207	50499	92987
208	50769	92794
209	51046	92612
210	51309	92405
211	51409	91906
212	51685	91723
213	51977	91567
214	52247	91372
215	52515	91173
216	52787	90979
217	53045	90761
218	53321	90574
219	53582	90359
220	53844	90146
221	54114	89947
222	54385	89747
223	54649	89536
224	54928	89350
225	55188	89131
226	55464	88938
227	55734	88735
228	55997	88520
229	56266	88314
230	56519	88082
231	56554	87513
232	56824	87310
233	57097	87110
234	57356	86888
235	57631	86691
236	57903	86488
237	58177	86289
238	58459	86098
239	58495	85550
240	58761	85338
241	59019	85114
242	59282	84898
243	59552	84691
244	59617	84194
245	59904	84012
246	60171	83801
247	60468	83632
248	60730	83412
249	61001	83206
250	61282	83011
251	61561	82814
252	61826	82597
253	61857	82071
254	62121	81854
255	62395	81649
256	62672	81449
257	62734	80970
258	63018	80780
259	63282	80562
260	63543	80342
261	63825	80146
262	64095	79936
263	64367	79727
264	64642	79521
265	64901	79297
266	65204	79125
267	65458	78891
268	65725	78674
269	65981	78444
270	66248	78227
271	66525	78020
272	66802	77813
273	67069	77595
274	67344	77384
275	67613	77167
276	67896	76965
277	68157	76738
278	68420	76512
279	68707	76314
280	68970	76088
281	69248	75878
282	69520	75661
283	69781	75432
284	70057	75220
285	70341	75014
286	70614	74796
287	70883	74574
288	71139	74340
289	71421	74130
290	71469	73679
291	71729	73448
292	71997	73226
293	72272	73009
294	72521	72767
295	72792	72547
296	72817	72081
297	73071	71845
298	73334	71617
299	73594	71386
300	73852	71153
301	74128	70937
302	74389	70707
303	74434	70272
304	74685	70033
305	74941	69798
306	75201	69567
307	75457	69332
308	75716	69100
309	75971	68864
310	76241	68641
311	76505	68413
312	76772	68187
313	77040	67962
314	77298	67728
315	77562	67498
316	77844	67285
317	78111	67058
318	78382	66834
319	78408	66402
320	78680	66179
321	78954	65958
322	79222	65732
